frame_idx,t,dt,keys_down
0,1774005027.759120,0.000619,[]
1,1774005027.817418,0.058298,[]
2,1774005027.936629,0.119210,[]
3,1774005028.063126,0.126497,[]
4,1774005028.172229,0.109103,[]
5,1774005028.291235,0.119006,[]
6,1774005028.412836,0.121601,["Key.right"]
7,1774005028.530698,0.117862,[]
8,1774005028.633943,0.103245,[]
9,1774005028.768342,0.134399,["Key.space"]
10,1774005028.884363,0.116020,[]
11,1774005029.006637,0.122275,[]
12,1774005029.128845,0.122207,["Key.space"]
13,1774005029.237836,0.108991,[]
14,1774005029.361775,0.123939,[]
15,1774005029.484759,0.122984,["Key.right"]
16,1774005029.613453,0.128694,[]
17,1774005029.721786,0.108333,[]
18,1774005029.843326,0.121539,["Key.space"]
19,1774005029.964288,0.120962,[]
20,1774005030.090777,0.126489,[]
21,1774005030.215895,0.125119,["Key.right"]
22,1774005030.345318,0.129423,[]
23,1774005030.472646,0.127328,[]
24,1774005030.593343,0.120697,["Key.right"]
25,1774005030.725662,0.132319,[]
26,1774005030.841344,0.115682,[]
27,1774005030.955043,0.113699,["Key.right"]
28,1774005031.071821,0.116778,["Key.right"]
29,1774005031.185488,0.113667,[]
30,1774005031.321131,0.135643,[]
31,1774005031.446818,0.125687,["Key.left"]
32,1774005031.559172,0.112353,[]
33,1774005031.691391,0.132219,[]
34,1774005031.822594,0.131203,["Key.left"]
35,1774005031.942375,0.119781,[]
36,1774005032.076316,0.133941,[]
37,1774005032.213967,0.137650,["Key.right"]
38,1774005032.328234,0.114267,[]
39,1774005032.451641,0.123407,[]
40,1774005032.598766,0.147125,["Key.left"]
41,1774005032.740118,0.141352,[]
42,1774005032.868428,0.128310,[]
43,1774005033.014750,0.146322,["Key.left"]
44,1774005033.142597,0.127847,[]
45,1774005033.268315,0.125717,[]
46,1774005033.408228,0.139913,["Key.left"]
47,1774005033.536083,0.127855,[]
48,1774005033.658215,0.122132,[]
49,1774005033.788158,0.129944,["Key.space"]
50,1774005033.910006,0.121848,[]
51,1774005034.025513,0.115507,[]
52,1774005034.156192,0.130679,["Key.left"]
53,1774005034.291848,0.135656,[]
54,1774005034.426601,0.134753,[]
55,1774005034.553978,0.127377,["Key.space"]
56,1774005034.681535,0.127557,[]
57,1774005034.817695,0.136160,[]
58,1774005034.951281,0.133586,["Key.left"]
59,1774005035.087873,0.136592,[]
60,1774005035.235795,0.147922,[]
61,1774005035.395370,0.159574,["Key.space"]
62,1774005035.545192,0.149822,[]
63,1774005035.693635,0.148443,[]
64,1774005035.850150,0.156515,["Key.space"]
65,1774005036.015209,0.165059,[]
66,1774005036.190591,0.175382,[]
67,1774005036.347149,0.156559,["Key.right"]
68,1774005036.491469,0.144320,[]
69,1774005036.654142,0.162672,[]
70,1774005036.804234,0.150092,["Key.right"]
71,1774005036.956669,0.152435,[]
72,1774005037.106868,0.150199,[]
73,1774005037.257038,0.150170,["Key.right"]
74,1774005037.413441,0.156403,[]
75,1774005037.567456,0.154015,[]
76,1774005037.741946,0.174490,["Key.space"]
77,1774005037.897000,0.155055,[]
78,1774005038.051965,0.154965,[]
79,1774005038.227760,0.175795,["Key.space"]
80,1774005038.388873,0.161113,[]
81,1774005038.537755,0.148881,[]
82,1774005038.698191,0.160437,["Key.space"]
83,1774005038.859405,0.161214,[]
84,1774005039.011116,0.151711,[]
85,1774005039.170224,0.159108,["Key.space"]
86,1774005039.362033,0.191810,[]
87,1774005039.529863,0.167830,["Key.right"]
88,1774005039.688945,0.159082,[]
89,1774005039.859047,0.170102,[]
90,1774005040.050261,0.191214,["Key.left"]
91,1774005040.240227,0.189966,[]
92,1774005040.439296,0.199069,["Key.right"]
