frame_idx,t,dt,keys_down
0,1774234297.541827,0.159190,[]
1,1774234297.689848,0.148021,[]
2,1774234297.829018,0.139171,[]
3,1774234297.956906,0.127887,[]
4,1774234298.071403,0.114497,["Key.space"]
5,1774234298.190963,0.119560,["Key.space"]
6,1774234298.306220,0.115257,[]
7,1774234298.424128,0.117908,[]
8,1774234298.539871,0.115744,["Key.left"]
9,1774234298.655423,0.115551,["Key.left"]
10,1774234298.778750,0.123327,[]
11,1774234298.905158,0.126408,[]
12,1774234299.169763,0.264605,["Key.left"]
13,1774234299.299460,0.129698,[]
14,1774234299.428175,0.128715,[]
15,1774234299.560790,0.132615,["Key.space"]
16,1774234299.692230,0.131440,[]
17,1774234299.821110,0.128881,[]
18,1774234299.948735,0.127624,["Key.right"]
19,1774234300.078807,0.130072,[]
20,1774234300.206407,0.127600,[]
21,1774234300.314945,0.108538,["Key.space"]
22,1774234300.418383,0.103438,["Key.space"]
23,1774234300.523069,0.104686,[]
24,1774234300.623578,0.100509,[]
25,1774234300.729717,0.106138,["Key.right"]
26,1774234300.848278,0.118561,["Key.right"]
27,1774234300.962480,0.114202,[]
28,1774234301.078635,0.116154,[]
29,1774234301.191679,0.113044,["Key.space"]
30,1774234301.289139,0.097460,["Key.space"]
31,1774234301.387519,0.098380,[]
32,1774234301.488112,0.100594,[]
33,1774234301.583462,0.095350,["Key.left"]
34,1774234301.683339,0.099877,["Key.left"]
35,1774234301.803410,0.120072,[]
36,1774234301.915288,0.111878,[]
37,1774234302.040648,0.125360,["Key.right"]
38,1774234302.162836,0.122188,[]
39,1774234302.292239,0.129403,[]
40,1774234302.422937,0.130698,["Key.right"]
41,1774234302.531595,0.108658,[]
42,1774234302.643830,0.112235,[]
43,1774234302.759534,0.115704,["Key.space"]
44,1774234302.880061,0.120527,["Key.space"]
45,1774234302.998405,0.118345,[]
46,1774234303.116012,0.117606,[]
47,1774234303.236943,0.120931,["Key.space"]
48,1774234303.337822,0.100879,[]
49,1774234303.452629,0.114807,[]
50,1774234303.564399,0.111770,["Key.left"]
51,1774234303.678121,0.113722,["Key.left"]
52,1774234303.799319,0.121198,[]
53,1774234303.916221,0.116903,[]
54,1774234304.032342,0.116121,["Key.space"]
55,1774234304.149311,0.116969,["Key.space"]
56,1774234304.275310,0.125998,[]
57,1774234304.407591,0.132282,[]
58,1774234304.532566,0.124975,["Key.left"]
59,1774234304.669453,0.136887,[]
60,1774234304.804389,0.134936,[]
61,1774234304.929567,0.125177,["Key.left"]
62,1774234305.063644,0.134077,[]
63,1774234305.206463,0.142819,[]
64,1774234305.332497,0.126034,["Key.space"]
65,1774234305.464193,0.131696,[]
66,1774234305.600502,0.136309,[]
67,1774234305.730627,0.130125,["Key.space"]
68,1774234305.861307,0.130681,[]
69,1774234306.003826,0.142519,[]
70,1774234306.134729,0.130903,["Key.space"]
71,1774234306.262313,0.127584,[]
72,1774234306.394506,0.132193,[]
73,1774234306.530981,0.136475,["Key.space"]
74,1774234306.668607,0.137627,[]
75,1774234306.800434,0.131826,[]
76,1774234306.930240,0.129806,["Key.left"]
77,1774234307.059894,0.129654,[]
78,1774234307.199624,0.139730,[]
