frame_idx,t,dt,keys_down
0,1774004652.143533,0.000006,[]
1,1774004652.289398,0.145865,[]
2,1774004652.511256,0.221858,[]
3,1774004652.648257,0.137001,[]
4,1774004652.808323,0.160066,[]
5,1774004652.954845,0.146522,[]
6,1774004653.103534,0.148688,[]
7,1774004653.253135,0.149602,[]
8,1774004653.411090,0.157954,[]
9,1774004653.564141,0.153051,[]
10,1774004653.718772,0.154631,[]
11,1774004653.863888,0.145116,[]
12,1774004654.011138,0.147251,[]
13,1774004654.149469,0.138331,[]
14,1774004654.306821,0.157352,[]
15,1774004654.455558,0.148737,[]
16,1774004654.612542,0.156984,[]
17,1774004654.757893,0.145351,[]
18,1774004654.911451,0.153558,[]
19,1774004655.065810,0.154359,[]
20,1774004655.220698,0.154888,[]
21,1774004655.376096,0.155399,[]
22,1774004655.542907,0.166811,[]
23,1774004655.694743,0.151836,[]
24,1774004655.838342,0.143599,[]
25,1774004655.993094,0.154752,[]
26,1774004656.133641,0.140547,[]
27,1774004656.283003,0.149362,[]
28,1774004656.440433,0.157430,[]
29,1774004656.589305,0.148873,[]
30,1774004656.743073,0.153768,[]
31,1774004656.887517,0.144444,[]
32,1774004657.034890,0.147373,[]
33,1774004657.187125,0.152235,[]
34,1774004657.335747,0.148622,[]
35,1774004657.489856,0.154110,[]
36,1774004657.635465,0.145609,[]
37,1774004657.787998,0.152533,[]
38,1774004657.943137,0.155139,[]
39,1774004658.086008,0.142872,[]
40,1774004658.243850,0.157842,[]
41,1774004658.389242,0.145392,[]
42,1774004658.544024,0.154782,[]
43,1774004658.710147,0.166123,[]
44,1774004658.860818,0.150671,[]
45,1774004659.003669,0.142851,[]
46,1774004659.154089,0.150420,[]
47,1774004659.304429,0.150340,[]
48,1774004659.456477,0.152048,[]
49,1774004659.626476,0.169999,[]
50,1774004659.783383,0.156907,[]
51,1774004659.937783,0.154400,[]
52,1774004660.105999,0.168216,[]
53,1774004660.262322,0.156323,[]
54,1774004660.406733,0.144411,[]
55,1774004660.561749,0.155016,[]
56,1774004660.704378,0.142628,[]
57,1774004660.864684,0.160306,[]
58,1774004661.027355,0.162671,[]
59,1774004661.170740,0.143385,[]
60,1774004661.329967,0.159227,[]
61,1774004661.484921,0.154953,[]
62,1774004661.644664,0.159743,[]
63,1774004661.797134,0.152470,[]
64,1774004661.936369,0.139235,[]
65,1774004662.077152,0.140783,[]
66,1774004662.214370,0.137218,[]
67,1774004662.373170,0.158800,[]
68,1774004662.527831,0.154661,[]
69,1774004662.687451,0.159620,[]
70,1774004662.845004,0.157553,[]
71,1774004662.990216,0.145212,[]
72,1774004663.143239,0.153023,[]
73,1774004663.288408,0.145168,[]
74,1774004663.438848,0.150441,[]
75,1774004663.591025,0.152177,[]
76,1774004663.776427,0.185402,[]
77,1774004663.921949,0.145521,[]
78,1774004664.078460,0.156511,[]
79,1774004664.241024,0.162565,[]
80,1774004664.407126,0.166101,[]
81,1774004664.576572,0.169447,[]
82,1774004664.729001,0.152429,[]
83,1774004664.872767,0.143766,["Key.right"]
84,1774004665.040756,0.167989,[]
85,1774004665.196049,0.155292,[]
86,1774004665.343558,0.147509,[]
87,1774004665.517615,0.174057,["Key.right"]
88,1774004665.667015,0.149400,[]
89,1774004665.823038,0.156023,[]
90,1774004665.989542,0.166505,[]
91,1774004666.150650,0.161108,[]
92,1774004666.308681,0.158030,[]
93,1774004666.469700,0.161020,["Key.space"]
94,1774004666.651120,0.181420,[]
95,1774004666.818414,0.167294,[]
96,1774004666.981997,0.163583,[]
97,1774004667.143857,0.161859,[]
98,1774004667.295243,0.151386,[]
99,1774004667.451411,0.156169,[]
100,1774004667.614075,0.162664,[]
101,1774004667.776358,0.162283,["Key.right", "Key.space"]
102,1774004667.923754,0.147396,["Key.right", "Key.space"]
103,1774004668.075813,0.152058,["Key.right", "Key.space"]
104,1774004668.235231,0.159419,["Key.right"]
105,1774004668.403507,0.168276,["Key.right"]
106,1774004668.559115,0.155608,["Key.right"]
107,1774004668.708578,0.149463,[]
108,1774004668.869317,0.160739,[]
109,1774004669.031915,0.162598,[]
110,1774004669.196944,0.165029,[]
111,1774004669.337802,0.140857,["Key.right"]
112,1774004669.510559,0.172758,[]
113,1774004669.660893,0.150333,["Key.right"]
114,1774004669.818594,0.157701,["Key.right"]
115,1774004669.990792,0.172199,[]
116,1774004670.139611,0.148818,[]
117,1774004670.293628,0.154018,[]
118,1774004670.438778,0.145149,[]
119,1774004670.590462,0.151685,[]
120,1774004670.742208,0.151746,[]
121,1774004670.896485,0.154277,[]
122,1774004671.043885,0.147401,[]
123,1774004671.199632,0.155746,[]
124,1774004671.367517,0.167885,[]
125,1774004671.531712,0.164195,[]
126,1774004671.693463,0.161751,[]
127,1774004671.854659,0.161197,[]
128,1774004672.008857,0.154197,[]
129,1774004672.162856,0.153999,[]
130,1774004672.314078,0.151222,[]
131,1774004672.458121,0.144043,[]
132,1774004672.610914,0.152793,[]
133,1774004672.768766,0.157852,[]
